,Dataset,Precision,Recall,F1_measure,Accuracy
0,HDFS,1.000000,1.000000,1.000000,1.000000
1,Hadoop,1.000000,1.000000,1.000000,1.000000
2,Spark,1.000000,1.000000,1.000000,1.000000
3,Zookeeper,1.000000,1.000000,1.000000,1.000000
4,BGL,1.000000,1.000000,1.000000,1.000000
5,HPC,1.000000,1.000000,1.000000,1.000000
6,Thunderbird,0.999968,0.999651,0.999809,0.981500
7,Windows,1.000000,1.000000,1.000000,1.000000
8,Linux,0.999797,0.999963,0.999880,0.987500
9,Android,0.999700,0.999892,0.999796,0.994500
10,HealthApp,1.000000,1.000000,1.000000,1.000000
11,Apache,1.000000,1.000000,1.000000,1.000000
12,Proxifier,1.000000,1.000000,1.000000,1.000000
13,OpenSSH,1.000000,1.000000,1.000000,1.000000
14,OpenStack,1.000000,1.000000,1.000000,1.000000
15,Mac,0.982393,0.986099,0.984243,0.977000
