EventId,EventTemplate,Occurrences
b35055fa,wake time set <*> s,3
9ed02a73,vm_compressor_fastwake_warmup completed - took <*> msecs,1
a8274058,vm_compressor_fastwake_warmup <*> - <*> - starting,1
b1d02dee,url host = <*>,1
ff56e017,the url = <*>,1
88e9e766,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.790 error <*>,1
8148599e,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.434 error <*>,8
2c9efcba,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
cb3cadb2,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is unreachable,1
81b8dc14,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is down,3
ac18d0cb,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,1
94349d5a,sigio_handler: sigio_handler_active != <*>,5
91eeaa24,setting hostname to <*>,2
a23397bf,"setting hostname to ""authorMacBook-Pro.local""",5
3d5499b2,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
b8890f57,"securityd_xpc_dictionary_handler <*> copy_matching Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
cbca2e2b,schedule invalidation <DYTransport <*> error: lost transport connection <*>,1
c1845bde,polled file major <*> minor <*> blocksize <*> pollers <*>,3
34fcefec,payload Data <*> <*>,1
e6b0c130,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,4
a04ad575,"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace: <*> <*> <*> libsystem_network.dylib <*> __nw_create_backtrace_string + <*> <*> libsystem_network.dylib <*> nw_path_evaluator_start_helper_connection + <*> <*> libdispatch.dylib <*> _dispatch_call_block_and_release + <*> <*> libdispatch.dylib <*> _dispatch_client_callout + <*> <*> libdispatch.dylib <*> _dispatch_queue_drain + <*> <*> libdispatch.dylib <*> _dispatch_queue_invoke + <*> <*> libdispatch.dylib <*> _dispatch_root_queue_drain + <*> <*> libdispatch.dylib <*> _dispatch_worker_thread3 + <*> <*> libsystem_pthread.dylib <*> _pthread_wqthread + <*> <*> libsystem_pthread.dylib <*> start_wqthread + <*>",1
acc1563b,nw_nat64_post_new_ifstate successfully changed <*> ifstate from <*> to <*>,15
5ede7912,no sleep images for WillPowerOffWithImages,1
79084c06,"no application identifier provided, can't use provisioning profiles <*>",1
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
1efe32ce,network changed: DNS* Proxy,3
a21373d4,network changed: DNS*,1
0581bc42,network changed: <*> DNS- Proxy-,2
7a2c8a00,network changed: <*> DNS+ Proxy+ SMB,1
ab1636db,network changed: <*> <*> DNS- Proxy-,1
7674dda1,network changed: <*> <*> DNS! Proxy SMB,7
dccab673,network changed: <*> <*> DNS Proxy SMB,1
632286b7,mDNS_RegisterInterface: Frequent transitions for interface awdl0 <*>,1
1cc4f682,mDNS_RegisterInterface: Frequent transitions for interface <*> <*>,3
eee45e61,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 <*>,2
1e62c609,mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,3
8f7d765f,kern_open_file_for_direct_io(0),1
ee92b1b4,kern_open_file_for_direct_io took <*> ms,1
b55176d9,jemmytest,10
a068f664,in6_unlink_ifa: <*> address <*> has no prefix,9
a2954e03,hostControllerOnline - Number of Paired devices = <*> List of Paired devices = ( <*> ),1
e60c49e6,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,1
f2b041a7,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,2
dbfad0e6,hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,1
de24e21c,hibernate_teardown completed - discarded <*>,1
93ccf765,hibernate_setup(0) took <*> ms,2
e851fa32,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,1
f356f9c1,hibernate_rebuild started,1
592af0db,hibernate_rebuild completed - took <*> msecs,1
3e741421,hibernate_page_list_setall(preflight <*> start,1
ecf18144,hibernate_page_list_setall time: <*> ms,1
038257e5,hibernate_page_list_setall found pageCount <*>,2
a7db7fa6,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",2
05c58d19,hibernate_machine_init: state <*> image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>,1
164db6d5,hibernate_machine_init reading,2
861aacc0,"hibernate_machine_init pagesDone <*> <*> <*> time: <*> ms, <*> <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",2
c158ae63,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,2
b7b2163a,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,2
b2a94231,hibernate image path: /var/vm/sleepimage,2
