EventId,EventTemplate,Occurrences
09f718ce,xinetd startup succeeded,1
6208f537,xinetd Version <*> started with libwrap loadavg options compiled in.,1
fadd4d28,unable to qualify my own domain name <*> -- using short name,10
b38a68e4,time reset <*> <*>,1
9bc27c87,syslog-ng version <*> <*>,1
e7db57c4,syslog-ng startup succeeded,1
ef226888,synchronized to <*> stratum <*>,568
9b1751bd,succeeded,2
b51ad4c2,session opened for user root by (uid= <*>,19
3be46d32,session closed for user root,24
19d28e10,scanning scsi channel <*> [virtual] for logical drives,1
a358220c,scanning scsi channel <*> [Phy <*> for non-raid devices,1
25830347,rpc.statd startup succeeded,1
179ee787,"routing cache hash table of <*> buckets, <*>",1
cff1981d,root= LABEL= <*> <*> <*> console= <*> fastboot BOOT_IMAGE= <*>,1
9550986e,removing time,2
8857d862,removing telnet,1
35a2dfee,removing rsync,1
69f0f986,removing printer,1
c27729e2,removing ntalk,1
077005f0,removing kshell,1
f8c3256b,removing klogin,1
ce314661,removing ftp,1
73265bab,removing eklogin,1
a0183fd1,removing echo,2
21dea3dd,removing daytime,2
260dcbc4,removing chargen,2
b1b5acf1,registered new <*> <*>,4
e2a20d6b,probe of <*> failed with error <*>,1
4e3b8494,probe new device <*> <*> <*> <*> bus <*> slot <*> func <*>,1
7d73b4c5,portmap startup succeeded,1
f36e8103,passed.,1
f6df922d,not allocating divert_blk for non-ethernet device lo,1
cafdce56,not allocating divert_blk for non-ethernet device <*>,1
70f0281f,no floppy controllers <*>,1
a0162353,mounted filesystem with ordered data mode.,3
81b392fb,md driver <*> MAX_MD_DEVS= <*> MD_SB_DISKS= <*>,1
b909c55d,kernel time sync enabled <*>,1
97e54efd,kernel time sync disabled <*>,1
812f945b,initializing netlink socket <*>,1
84d10a1e,initialized,1
264d5edd,gmetad startup succeeded,1
618dc54b,fw version: <*> bios version: <*>,1
9da1d473,error: Bind to port <*> on <*> failed: Address already in use.,1
6391d957,data_thread() got not answer from any <*> datasource,819
1c50da41,connection lost: 'Connection <*>,3
9d05aa60,connection from <*>,2
8aa8bcf0,colour VGA+ <*>,1
7ce70afa,autorun ...,2
4d12f6fa,assuming drive cache: write through,1
6a604788,asking for cache data failed,1
ffa152d9,apic_id <*> version <*> address <*> GSI <*>,3
b3dc57c4,allocating divert_blk for <*>,2
f12337f0,[ib_sm_sweep.c: <*> No topology change,62
16e16eba,[ib_sm_sweep.c: <*> No configuration change required,62
fac7f159,[ib_sm_sweep.c: <*> ********************** NEW SWEEP ********************,62
81fd226f,Warning: we failed to resolve trusted host name <*> <*>,1
31c7079d,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,33
3348c475,Warning: we failed to resolve data source name <*> <*> <*>,1
708630cc,Wait for ready failed before probe !,6
268e6e9a,Version <*> Starting,1
f927eeab,Using software bounce buffering for IO (SWIOTLB),1
415e7cee,Using configuration type <*>,1
49054f89,Using MMCONFIG at <*>,1
5925103d,Using IOAPIC for interrupt routing,1
6df54444,Using HPET based <*>,1
a18fe907,Using ACPI for IRQ routing,1
fea49fce,Using <*> MHz HPET timer.,1
f5f1f1b7,User <*> coming from <*> authenticated.,2
e3539859,Unregistering netfilter hooks,1
2521b0cb,Unknown cmd <*> <*> <*> on <*>,1
e66efd16,Transparent bridge - <*> <*> <*>,1
0bbba1b5,"Trace cache: <*> uops, <*> D cache: <*>",5
54e256e6,Subsystem revision <*>,1
2d44d780,Starting ts_fixup: succeeded,1
